matrix_index,segment_id,role,contract
0,0,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
1,1,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
2,2,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
3,3,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
4,4,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
5,5,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
6,6,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
7,7,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
8,8,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
9,9,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
10,10,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
11,11,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
12,12,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
13,13,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
14,14,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
15,15,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
16,16,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
17,17,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
18,18,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
19,19,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
20,20,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
21,21,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
22,22,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
23,23,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
24,24,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
25,25,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
26,26,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
27,27,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
28,28,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
29,29,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
30,30,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
31,31,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
32,32,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
33,33,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
34,34,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
35,35,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
36,36,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
37,37,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
38,38,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
39,39,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
40,40,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
41,41,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
42,42,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
43,43,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
44,44,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
45,45,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
46,46,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
47,47,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
48,48,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
49,49,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
50,50,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
51,51,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
52,52,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
53,53,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
54,54,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
55,55,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
56,56,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
57,57,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
58,58,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
59,59,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
60,60,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
61,61,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
62,62,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
63,63,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
64,64,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
65,65,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
66,66,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
67,67,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
68,68,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
69,69,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
70,70,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
71,71,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
72,72,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
73,73,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
74,74,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
75,75,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
76,76,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
77,77,row_target_and_column_source,"G[target_index, source_index] = directed influence from source to target"
